a1,a2,a3,p(win),rank1,rank2,rank3
frc492,frc2046,frc4043,61.61629999999993,17,11,48
frc492,frc2557,frc4512,61.57966666666665,17,18,13
frc492,frc2521,frc3663,61.551249999999946,17,16,24
frc492,frc2930,frc6831,61.52933333333333,17,7,35
frc492,frc2990,frc6350,61.44869047619037,17,28,20
frc492,frc2521,frc3218,61.36146428571433,17,16,25
frc492,frc2521,frc2557,61.32249999999999,17,16,18
frc492,frc2811,frc957,61.321083333333384,17,15,14
frc492,frc488,frc7461,61.311649999999986,17,34,27
frc492,frc2930,frc997,61.299247619047655,17,7,8
frc492,frc488,frc7034,61.26660952380959,17,34,19
frc492,frc2557,frc5827,61.25633333333323,17,18,29
frc492,frc5920,frc7461,61.175249999999984,17,43,27
frc492,frc3711,frc7461,61.16492857142863,17,21,27
frc492,frc1595,frc3674,61.163333333333334,17,5,12
frc492,frc2147,frc3711,61.12229761904763,17,4,21
frc492,frc1425,frc2976,61.12116666666682,17,31,2
frc492,frc3786,frc4488,61.11491666666668,17,44,9
frc492,frc2471,frc3786,61.10775000000001,17,3,44
frc492,frc2811,frc488,61.027716666666656,17,15,34
frc492,frc3711,frc4488,60.996702380952364,17,21,9
frc492,frc2990,frc4513,60.987714285714276,17,28,37
frc492,frc1540,frc3218,60.959488095238065,17,30,25
frc492,frc6831,frc955,60.92991666666669,17,35,10
frc492,frc2522,frc360,60.91116666666662,17,23,26
frc492,frc3636,frc488,60.76469285714283,17,32,34
frc492,frc2557,frc957,60.75124999999997,17,18,14
frc492,frc2557,frc360,60.73215000000007,17,18,26
frc492,frc2147,frc4125,60.674583333333366,17,4,38
frc492,frc2522,frc2976,60.657499999999985,17,23,2
frc492,frc2521,frc957,60.64813333333343,17,16,14
frc492,frc2811,frc360,60.60995000000001,17,15,26
frc492,frc2522,frc2557,60.60783333333329,17,23,18
frc492,frc1540,frc2557,60.550999999999966,17,30,18
frc492,frc1540,frc3663,60.48766666666658,17,30,24
frc492,frc6350,frc7461,60.4716666666666,17,20,27
frc492,frc4513,frc955,60.4475000000001,17,37,10
frc492,frc3636,frc4125,60.422916666666744,17,32,38
